"frame","x [nm]","y [nm]","z [nm]"
1.0,3134.8,4006.0,-1460.0
2.0,3135.8,4007.5,-1440.0
3.0,3133.8,4004.8,-1460.0
4.0,3134.6,4007.8,-1445.0
5.0,3136.7,4008.3,-1435.0
6.0,3135.3,4008.7,-1440.0
7.0,3134.6,4009.9,-1435.0
8.0,3135.2,4008.4,-1440.0
9.0,3134.8,4009.2,-1430.0
10.0,3134.2,4007.6,-1440.0
11.0,3135.1,4006.8,-1440.0
12.0,3134.3,4007.2,-1440.0
13.0,3135.5,4008.9,-1435.0
14.0,3135.1,4007.0,-1440.0
15.0,3134.3,4007.4,-1440.0
16.0,3135.9,4008.2,-1430.0
17.0,3135.2,4006.6,-1435.0
18.0,3133.8,4008.6,-1435.0
19.0,3135.6,4007.6,-1435.0
20.0,3133.2,4007.2,-1440.0
21.0,3135.4,4007.5,-1435.0
22.0,3135.1,4006.4,-1435.0
23.0,3134.9,4004.6,-1445.0
24.0,3131.6,4006.1,-1435.0
25.0,3135.1,4003.9,-1445.0
26.0,3136.6,4004.0,-1440.0
27.0,3134.3,4002.4,-1445.0
28.0,3136.2,4002.7,-1445.0
29.0,3135.0,4004.5,-1435.0
30.0,3138.2,4006.5,-1440.0
31.0,3138.2,4005.8,-1435.0
32.0,3139.6,4007.9,-1425.0
33.0,3130.3,4008.3,-1440.0
34.0,3131.6,4005.4,-1450.0
35.0,3136.0,4000.5,-1440.0
36.0,3138.6,3998.6,-1430.0
37.0,3138.8,3994.5,-1430.0
38.0,3144.5,3993.8,-1430.0
39.0,3146.7,3996.8,-1425.0
40.0,3147.9,4000.6,-1430.0
41.0,3148.6,4003.5,-1430.0
42.0,3147.3,4005.7,-1435.0
43.0,3147.1,4007.6,-1435.0
44.0,3147.0,4006.4,-1430.0
45.0,3145.9,4007.2,-1435.0
46.0,3145.6,4008.8,-1430.0
47.0,3143.8,4009.4,-1425.0
48.0,3142.9,4010.4,-1425.0
49.0,3143.0,4012.5,-1425.0
50.0,3138.5,4005.8,-1435.0
51.0,3135.9,4004.7,-1440.0
52.0,3136.3,4001.6,-1450.0
53.0,3137.8,4000.9,-1445.0
54.0,3135.5,4002.0,-1440.0
55.0,3134.8,4000.5,-1440.0
56.0,3135.6,3997.5,-1450.0
57.0,3131.1,3998.9,-1445.0
58.0,3129.2,3996.2,-1445.0
59.0,3125.7,3993.7,-1450.0
60.0,3123.6,3991.2,-1450.0
61.0,3124.9,3990.7,-1450.0
62.0,3126.4,3991.7,-1435.0
63.0,3132.3,3985.1,-1435.0
64.0,3135.8,3992.6,-1425.0
65.0,3136.6,3993.3,-1425.0
66.0,3134.3,3992.9,-1430.0
67.0,3131.3,3993.2,-1430.0
68.0,3127.7,3990.0,-1435.0
69.0,3127.6,3986.7,-1435.0
70.0,3127.2,3985.1,-1435.0
71.0,3130.0,3985.7,-1435.0
72.0,3130.9,3986.4,-1435.0
73.0,3130.1,3989.0,-1440.0
74.0,3127.8,3993.3,-1440.0
75.0,3127.9,3994.0,-1440.0
76.0,3126.8,3993.9,-1435.0
77.0,3125.5,3993.6,-1440.0
78.0,3122.4,3992.5,-1440.0
79.0,3125.2,3992.0,-1440.0
80.0,3125.8,3991.6,-1445.0
81.0,3125.7,3993.9,-1440.0
82.0,3126.8,3994.7,-1445.0
83.0,3125.2,3994.2,-1440.0
84.0,3128.7,3992.7,-1450.0
85.0,3126.1,3995.8,-1445.0
86.0,3129.2,3994.1,-1450.0
87.0,3126.5,3995.7,-1445.0
88.0,3127.1,3995.2,-1450.0
89.0,3128.3,3995.4,-1440.0
90.0,3127.2,3994.2,-1440.0
91.0,3129.3,3993.3,-1445.0
92.0,3127.6,3992.8,-1450.0
93.0,3128.3,3994.5,-1445.0
94.0,3128.4,3993.9,-1445.0
95.0,3129.0,3992.5,-1450.0
96.0,3127.0,3995.0,-1445.0
97.0,3127.4,3993.3,-1445.0
98.0,3127.2,3994.4,-1445.0
99.0,3127.2,3992.4,-1455.0
100.0,3126.1,3995.4,-1440.0
101.0,3126.6,3995.3,-1445.0
102.0,3129.3,3993.9,-1455.0
103.0,3127.1,3994.9,-1445.0
104.0,3126.4,3994.5,-1440.0
105.0,3125.4,3993.8,-1445.0
106.0,3126.7,3993.4,-1440.0
107.0,3127.4,3993.6,-1450.0
108.0,3128.0,3993.9,-1445.0
109.0,3128.2,3992.9,-1450.0
110.0,3126.0,3993.3,-1440.0
111.0,3126.0,3994.6,-1445.0
112.0,3127.2,3994.8,-1445.0
113.0,3126.0,3994.1,-1445.0
114.0,3127.1,3994.9,-1445.0
115.0,3127.4,3994.1,-1445.0
116.0,3127.0,3994.2,-1445.0
117.0,3125.9,3994.0,-1440.0
118.0,3126.8,3993.8,-1445.0
119.0,3126.3,3992.1,-1445.0
120.0,3125.2,3991.4,-1440.0
121.0,3124.8,3990.4,-1435.0
122.0,3126.6,3991.0,-1445.0
123.0,3126.2,3990.4,-1445.0
124.0,3127.9,3990.7,-1440.0
125.0,3130.0,3991.7,-1435.0
126.0,3130.7,3992.8,-1440.0
127.0,3125.1,3991.9,-1440.0
128.0,3120.5,3989.3,-1435.0
129.0,3121.6,3989.1,-1445.0
130.0,3129.1,3992.0,-1450.0
131.0,3130.4,3994.6,-1445.0
132.0,3129.2,3993.0,-1440.0
133.0,3130.4,3992.6,-1440.0
134.0,3130.8,3991.9,-1435.0
135.0,3131.2,3992.4,-1440.0
136.0,3131.5,3993.3,-1440.0
137.0,3133.1,3992.5,-1435.0
138.0,3131.6,3992.5,-1440.0
139.0,3130.8,3995.7,-1435.0
140.0,3130.4,3996.9,-1435.0
141.0,3127.4,3994.0,-1440.0
142.0,3125.7,3991.7,-1440.0
143.0,3123.7,3989.9,-1445.0
144.0,3122.9,3990.9,-1445.0
145.0,3122.3,3993.4,-1430.0
146.0,3125.4,3992.5,-1435.0
147.0,3125.1,3991.9,-1435.0
148.0,3125.2,3990.6,-1435.0
149.0,3123.5,3988.2,-1435.0
150.0,3123.4,3986.6,-1440.0
151.0,3121.2,3986.3,-1435.0
152.0,3122.6,3984.5,-1435.0
153.0,3123.6,3983.8,-1440.0
154.0,3122.0,3984.0,-1435.0
155.0,3121.0,3985.0,-1435.0
156.0,3121.5,3984.9,-1435.0
157.0,3124.1,3987.1,-1435.0
158.0,3122.3,3985.4,-1435.0
159.0,3124.9,3987.4,-1440.0
160.0,3125.0,3986.2,-1435.0
161.0,3124.6,3984.9,-1435.0
162.0,3126.0,3984.9,-1440.0
163.0,3124.6,3983.6,-1440.0
164.0,3123.7,3983.4,-1440.0
165.0,3118.5,3985.2,-1435.0
166.0,3115.0,3986.6,-1440.0
167.0,3116.3,3984.6,-1445.0
168.0,3120.9,3980.8,-1440.0
169.0,3124.8,3979.3,-1440.0
170.0,3124.9,3979.6,-1440.0
171.0,3123.6,3979.9,-1435.0
172.0,3124.2,3978.2,-1435.0
173.0,3121.8,3978.0,-1440.0
174.0,3122.7,3979.3,-1440.0
175.0,3121.4,3980.9,-1440.0
176.0,3122.7,3980.5,-1435.0
177.0,3123.2,3980.0,-1440.0
178.0,3124.0,3978.8,-1440.0
179.0,3126.2,3978.2,-1435.0
180.0,3127.2,3977.2,-1435.0
181.0,3126.8,3975.7,-1435.0
182.0,3126.9,3975.6,-1435.0
183.0,3124.4,3975.6,-1435.0
184.0,3122.8,3978.4,-1435.0
185.0,3123.1,3980.6,-1435.0
186.0,3122.7,3980.2,-1440.0
187.0,3122.0,3984.3,-1440.0
188.0,3121.5,3981.2,-1440.0
189.0,3126.0,3983.7,-1440.0
190.0,3125.8,3983.6,-1440.0
191.0,3126.4,3986.1,-1440.0
192.0,3124.1,3987.6,-1440.0
193.0,3123.9,3985.7,-1445.0
194.0,3124.4,3983.9,-1440.0
195.0,3124.3,3981.3,-1440.0
196.0,3122.4,3982.8,-1440.0
197.0,3116.8,3984.3,-1435.0
198.0,3118.1,3983.8,-1440.0
199.0,3121.4,3985.0,-1440.0
200.0,3123.8,3983.2,-1440.0
201.0,3123.8,3985.9,-1440.0
202.0,3123.4,3987.1,-1445.0
203.0,3124.2,3985.9,-1440.0
204.0,3127.1,3985.5,-1440.0
205.0,3126.6,3982.2,-1440.0
206.0,3122.8,3981.7,-1435.0
207.0,3121.6,3981.1,-1440.0
208.0,3123.7,3981.1,-1440.0
209.0,3120.8,3979.6,-1445.0
210.0,3121.7,3980.2,-1440.0
211.0,3122.9,3979.3,-1440.0
212.0,3127.8,3978.8,-1445.0
213.0,3129.6,3974.5,-1440.0
214.0,3134.8,3977.1,-1420.0
215.0,3131.8,3973.4,-1430.0
216.0,3130.5,3975.3,-1435.0
217.0,3127.2,3975.2,-1440.0
218.0,3125.6,3979.0,-1440.0
219.0,3125.8,3979.7,-1440.0
220.0,3127.3,3981.8,-1440.0
221.0,3126.9,3980.7,-1435.0
222.0,3129.1,3981.1,-1435.0
223.0,3129.2,3979.9,-1440.0
224.0,3129.6,3978.3,-1435.0
225.0,3127.2,3976.7,-1435.0
226.0,3127.4,3977.2,-1435.0
227.0,3127.8,3976.9,-1435.0
228.0,3127.5,3976.1,-1430.0
229.0,3126.8,3973.5,-1430.0
230.0,3127.7,3972.3,-1435.0
231.0,3126.5,3971.9,-1435.0
232.0,3127.4,3974.6,-1440.0
233.0,3127.0,3973.9,-1435.0
234.0,3126.9,3975.3,-1435.0
235.0,3126.2,3975.2,-1440.0
236.0,3124.2,3974.4,-1435.0
237.0,3124.2,3976.1,-1435.0
238.0,3124.1,3978.1,-1430.0
239.0,3123.4,3977.1,-1430.0
240.0,3123.2,3975.6,-1440.0
241.0,3121.3,3975.0,-1435.0
242.0,3121.7,3975.7,-1440.0
243.0,3121.0,3974.6,-1435.0
244.0,3120.7,3975.3,-1435.0
245.0,3120.2,3975.8,-1435.0
246.0,3120.8,3973.3,-1440.0
247.0,3119.8,3972.7,-1435.0
248.0,3119.7,3972.8,-1430.0
249.0,3120.0,3974.6,-1435.0
250.0,3119.4,3973.2,-1435.0
251.0,3121.2,3973.2,-1440.0
252.0,3122.2,3972.0,-1430.0
253.0,3123.2,3971.1,-1435.0
254.0,3122.4,3969.4,-1435.0
255.0,3120.6,3969.9,-1435.0
256.0,3124.2,3969.4,-1435.0
257.0,3123.7,3968.1,-1430.0
258.0,3124.3,3969.5,-1425.0
259.0,3123.0,3967.8,-1430.0
260.0,3121.7,3967.5,-1430.0
261.0,3121.1,3966.9,-1430.0
262.0,3120.9,3968.3,-1425.0
263.0,3120.2,3969.6,-1430.0
264.0,3118.7,3972.2,-1420.0
265.0,3119.1,3970.7,-1430.0
266.0,3117.4,3971.4,-1435.0
267.0,3117.6,3969.9,-1435.0
268.0,3118.9,3969.1,-1435.0
269.0,3119.1,3966.5,-1435.0
270.0,3119.9,3969.0,-1440.0
271.0,3118.0,3970.2,-1435.0
272.0,3117.6,3969.2,-1435.0
273.0,3116.2,3971.8,-1435.0
274.0,3117.3,3971.2,-1435.0
275.0,3119.4,3969.7,-1435.0
276.0,3123.3,3967.3,-1430.0
277.0,3124.0,3965.6,-1430.0
278.0,3123.2,3965.9,-1435.0
279.0,3122.5,3965.9,-1430.0
280.0,3119.9,3965.3,-1430.0
281.0,3120.3,3963.7,-1430.0
282.0,3120.6,3965.0,-1430.0
283.0,3119.9,3964.6,-1430.0
284.0,3119.3,3965.1,-1425.0
285.0,3119.4,3965.9,-1435.0
286.0,3118.8,3964.9,-1430.0
287.0,3118.7,3966.2,-1430.0
288.0,3118.4,3966.0,-1430.0
289.0,3118.4,3963.7,-1425.0
290.0,3117.5,3963.1,-1435.0
291.0,3119.3,3961.4,-1430.0
292.0,3118.7,3964.3,-1430.0
293.0,3119.0,3963.7,-1435.0
294.0,3119.1,3962.6,-1430.0
295.0,3119.3,3965.5,-1430.0
296.0,3119.1,3964.9,-1430.0
297.0,3119.8,3967.4,-1435.0
298.0,3117.6,3966.1,-1430.0
299.0,3118.4,3965.8,-1425.0
300.0,3116.0,3968.5,-1435.0
301.0,3114.5,3967.8,-1435.0
302.0,3113.5,3970.3,-1435.0
303.0,3115.9,3968.9,-1435.0
304.0,3118.9,3969.4,-1435.0
305.0,3115.5,3968.1,-1435.0
306.0,3112.7,3969.8,-1430.0
307.0,3108.2,3968.2,-1430.0
308.0,3102.9,3967.1,-1435.0
309.0,3111.1,3971.8,-1435.0
310.0,3116.2,3974.3,-1435.0
311.0,3116.4,3973.0,-1435.0
312.0,3117.2,3972.4,-1435.0
313.0,3113.1,3970.9,-1425.0
314.0,3112.8,3970.0,-1430.0
315.0,3111.5,3969.1,-1430.0
316.0,3107.3,3969.1,-1430.0
317.0,3107.2,3970.6,-1435.0
318.0,3105.9,3969.7,-1430.0
319.0,3108.6,3972.1,-1435.0
320.0,3110.2,3975.3,-1435.0
321.0,3107.0,3973.6,-1430.0
322.0,3107.8,3972.5,-1435.0
323.0,3108.0,3969.8,-1435.0
324.0,3110.1,3965.9,-1435.0
325.0,3112.2,3963.6,-1435.0
326.0,3113.4,3962.1,-1430.0
327.0,3114.5,3959.9,-1425.0
328.0,3116.1,3960.0,-1425.0
329.0,3114.5,3959.4,-1425.0
330.0,3115.2,3958.2,-1425.0
331.0,3115.8,3960.0,-1435.0
332.0,3116.1,3958.1,-1430.0
333.0,3113.9,3958.5,-1435.0
334.0,3114.0,3958.0,-1430.0
335.0,3113.8,3958.0,-1430.0
336.0,3114.6,3957.7,-1425.0
337.0,3114.6,3957.6,-1430.0
338.0,3113.8,3957.5,-1430.0
339.0,3113.2,3958.0,-1435.0
340.0,3114.5,3957.5,-1430.0
341.0,3112.4,3957.9,-1425.0
342.0,3111.3,3957.2,-1420.0
343.0,3109.0,3955.3,-1425.0
344.0,3109.9,3957.7,-1425.0
345.0,3112.4,3955.2,-1430.0
346.0,3110.8,3954.2,-1425.0
347.0,3114.3,3952.3,-1425.0
348.0,3110.1,3952.2,-1430.0
349.0,3111.8,3951.2,-1430.0
350.0,3110.6,3951.9,-1430.0
351.0,3112.6,3951.1,-1430.0
352.0,3113.4,3949.3,-1430.0
353.0,3114.9,3950.6,-1430.0
354.0,3115.3,3951.1,-1430.0
355.0,3114.5,3952.4,-1430.0
356.0,3115.2,3951.6,-1425.0
357.0,3114.3,3954.4,-1430.0
358.0,3113.5,3954.2,-1425.0
359.0,3112.5,3952.9,-1425.0
360.0,3111.5,3952.8,-1425.0
361.0,3112.4,3953.2,-1420.0
362.0,3111.7,3952.1,-1425.0
363.0,3112.4,3951.5,-1425.0
364.0,3111.3,3950.3,-1430.0
365.0,3112.1,3951.1,-1425.0
366.0,3110.7,3952.5,-1420.0
367.0,3113.2,3954.1,-1420.0
368.0,3110.0,3952.0,-1430.0
369.0,3110.8,3952.7,-1425.0
370.0,3108.5,3952.5,-1425.0
371.0,3109.9,3953.9,-1425.0
372.0,3110.8,3951.9,-1430.0
373.0,3113.6,3949.8,-1425.0
374.0,3111.7,3949.1,-1430.0
375.0,3112.3,3945.3,-1430.0
376.0,3114.6,3944.9,-1420.0
377.0,3114.7,3946.3,-1420.0
378.0,3111.6,3950.0,-1430.0
379.0,3110.0,3951.7,-1435.0
380.0,3112.2,3949.0,-1430.0
381.0,3115.0,3947.0,-1430.0
382.0,3117.8,3946.2,-1425.0
383.0,3118.4,3946.9,-1420.0
384.0,3116.4,3942.8,-1415.0
385.0,3112.1,3948.2,-1415.0
386.0,3112.2,3945.6,-1415.0
387.0,3109.9,3948.8,-1425.0
388.0,3111.8,3950.8,-1425.0
389.0,3111.9,3953.9,-1420.0
390.0,3113.3,3955.9,-1425.0
391.0,3113.1,3956.6,-1430.0
392.0,3113.0,3956.3,-1430.0
393.0,3114.5,3956.3,-1430.0
394.0,3112.9,3957.2,-1425.0
395.0,3113.5,3958.7,-1420.0
396.0,3111.5,3956.1,-1425.0
397.0,3112.0,3957.9,-1420.0
398.0,3110.7,3955.1,-1420.0
399.0,3108.1,3956.7,-1425.0
400.0,3109.3,3954.3,-1425.0
401.0,3106.9,3955.1,-1430.0
402.0,3110.0,3955.1,-1425.0
403.0,3108.5,3955.3,-1430.0
404.0,3106.8,3952.1,-1425.0
405.0,3108.5,3951.8,-1430.0
406.0,3109.6,3950.2,-1435.0
407.0,3110.0,3950.1,-1425.0
408.0,3111.2,3947.8,-1425.0
409.0,3111.2,3946.3,-1425.0
410.0,3114.8,3946.4,-1420.0
411.0,3113.1,3944.9,-1420.0
412.0,3113.9,3945.1,-1420.0
413.0,3110.7,3945.6,-1415.0
414.0,3111.6,3945.4,-1425.0
415.0,3111.1,3945.3,-1425.0
416.0,3110.6,3945.9,-1425.0
417.0,3110.1,3948.6,-1425.0
418.0,3110.4,3948.5,-1420.0
419.0,3106.1,3951.8,-1425.0
420.0,3104.2,3954.7,-1425.0
421.0,3099.8,3957.2,-1430.0
422.0,3097.8,3957.8,-1430.0
423.0,3100.3,3952.2,-1430.0
424.0,3103.8,3942.5,-1415.0
425.0,3105.4,3934.8,-1415.0
426.0,3107.3,3935.0,-1415.0
427.0,3106.4,3934.6,-1420.0
428.0,3106.1,3936.2,-1425.0
429.0,3106.5,3942.0,-1425.0
430.0,3106.5,3947.0,-1425.0
431.0,3105.2,3947.9,-1425.0
432.0,3106.3,3946.8,-1425.0
433.0,3107.4,3945.1,-1420.0
434.0,3110.0,3940.6,-1420.0
435.0,3110.2,3940.8,-1420.0
436.0,3111.0,3940.8,-1420.0
437.0,3109.7,3941.4,-1415.0
438.0,3110.7,3941.2,-1415.0
439.0,3111.7,3940.8,-1415.0
440.0,3110.3,3941.7,-1415.0
441.0,3111.0,3942.2,-1415.0
442.0,3111.7,3942.5,-1415.0
443.0,3112.5,3941.9,-1415.0
444.0,3114.3,3941.2,-1415.0
445.0,3114.0,3938.7,-1420.0
446.0,3114.5,3940.7,-1415.0
447.0,3111.3,3938.3,-1415.0
448.0,3112.3,3937.8,-1415.0
449.0,3112.2,3937.4,-1415.0
450.0,3110.7,3936.5,-1415.0
451.0,3109.6,3936.4,-1415.0
452.0,3108.6,3937.3,-1415.0
453.0,3107.0,3935.9,-1415.0
454.0,3106.1,3934.9,-1415.0
455.0,3103.9,3938.1,-1415.0
456.0,3102.3,3940.7,-1415.0
457.0,3103.8,3940.8,-1420.0
458.0,3101.5,3939.1,-1420.0
459.0,3097.4,3937.1,-1415.0
460.0,3100.8,3932.1,-1415.0
461.0,3104.5,3927.8,-1420.0
462.0,3109.3,3925.5,-1425.0
463.0,3109.2,3924.4,-1420.0
464.0,3109.2,3923.6,-1420.0
465.0,3115.9,3922.9,-1430.0
466.0,3115.3,3924.7,-1425.0
467.0,3114.1,3928.9,-1415.0
468.0,3116.3,3930.7,-1415.0
469.0,3115.2,3932.2,-1415.0
470.0,3116.8,3932.9,-1420.0
471.0,3116.2,3933.7,-1415.0
472.0,3115.7,3940.9,-1415.0
473.0,3108.3,3945.9,-1415.0
474.0,3100.9,3952.0,-1420.0
475.0,3101.1,3948.5,-1425.0
476.0,3103.7,3946.9,-1420.0
477.0,3097.8,3950.9,-1415.0
478.0,3088.6,3954.7,-1415.0
479.0,3086.6,3949.5,-1415.0
480.0,3091.6,3946.7,-1415.0
481.0,3099.2,3940.2,-1420.0
482.0,3108.8,3934.2,-1425.0
483.0,3114.4,3933.0,-1425.0
484.0,3117.2,3933.7,-1415.0
485.0,3118.0,3934.8,-1415.0
486.0,3116.2,3933.9,-1415.0
487.0,3116.0,3931.2,-1415.0
488.0,3113.5,3928.7,-1420.0
489.0,3111.3,3928.8,-1415.0
490.0,3111.3,3928.2,-1415.0
491.0,3113.2,3928.8,-1415.0
492.0,3112.0,3926.6,-1420.0
493.0,3109.8,3925.4,-1420.0
494.0,3105.0,3927.9,-1415.0
495.0,3099.2,3930.2,-1410.0
496.0,3096.2,3931.6,-1415.0
497.0,3103.1,3931.7,-1420.0
498.0,3109.2,3932.5,-1415.0
499.0,3108.2,3929.7,-1415.0
500.0,3106.9,3928.0,-1420.0
501.0,3105.7,3924.9,-1425.0
502.0,3110.3,3923.8,-1430.0
503.0,3110.4,3922.3,-1435.0
504.0,3109.4,3920.9,-1435.0
505.0,3108.9,3922.3,-1430.0
506.0,3108.0,3921.1,-1425.0
507.0,3107.3,3921.6,-1425.0
508.0,3108.1,3921.5,-1425.0
509.0,3106.3,3922.0,-1430.0
510.0,3106.6,3922.1,-1425.0
511.0,3106.3,3921.6,-1425.0
512.0,3106.6,3921.1,-1425.0
513.0,3104.4,3922.0,-1425.0
514.0,3103.8,3919.9,-1435.0
515.0,3107.0,3923.6,-1425.0
516.0,3107.8,3923.0,-1425.0
517.0,3108.0,3921.1,-1430.0
518.0,3109.0,3920.2,-1430.0
519.0,3107.2,3919.7,-1440.0
520.0,3108.9,3920.1,-1435.0
521.0,3108.2,3921.9,-1435.0
522.0,3105.4,3920.6,-1435.0
523.0,3106.3,3921.0,-1425.0
524.0,3104.9,3919.9,-1440.0
525.0,3105.7,3922.5,-1430.0
526.0,3106.1,3922.8,-1425.0
527.0,3105.3,3922.3,-1425.0
528.0,3105.4,3920.4,-1430.0
529.0,3106.5,3920.6,-1430.0
530.0,3105.3,3919.6,-1430.0
531.0,3106.2,3918.7,-1430.0
532.0,3105.3,3918.9,-1430.0
533.0,3105.4,3918.1,-1440.0
534.0,3107.2,3921.0,-1430.0
535.0,3105.8,3919.3,-1430.0
536.0,3105.6,3919.7,-1430.0
537.0,3106.8,3917.9,-1435.0
538.0,3108.3,3918.7,-1435.0
539.0,3110.0,3919.0,-1440.0
540.0,3109.1,3917.5,-1435.0
541.0,3108.1,3918.2,-1430.0
542.0,3108.2,3917.4,-1435.0
543.0,3108.8,3918.0,-1435.0
544.0,3110.2,3916.5,-1435.0
545.0,3107.9,3917.0,-1435.0
546.0,3106.9,3913.0,-1445.0
547.0,3108.0,3916.0,-1440.0
548.0,3106.5,3911.3,-1445.0
549.0,3107.6,3910.5,-1450.0
550.0,3107.4,3911.1,-1445.0
551.0,3106.6,3909.7,-1450.0
552.0,3107.3,3909.3,-1450.0
553.0,3105.9,3907.4,-1460.0
554.0,3107.5,3908.0,-1455.0
555.0,3106.6,3909.3,-1450.0
556.0,3109.2,3909.7,-1455.0
557.0,3108.4,3908.7,-1455.0
558.0,3108.1,3909.6,-1450.0
559.0,3107.7,3908.0,-1460.0
560.0,3108.0,3907.5,-1455.0
561.0,3107.9,3907.7,-1460.0
562.0,3104.9,3906.1,-1455.0
563.0,3106.7,3905.5,-1455.0
564.0,3107.5,3905.8,-1455.0
565.0,3108.9,3907.7,-1455.0
